No,Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
1,Simak Jadwal dan Lokasi SIM Keliling di Jakarta Hari Ini," JAKARTA, KOMPAS.com - Surat Izin Mengemudi (SIM) wajib untuk terus aktif masa berlakunya. Untuk melakukan perpanjangan masa berlaku SIM bisa memanfaatkan layanan SIM keliling.SIM keliling dibuat untuk memudahkan masyarakat dalam mengurus perpanjangan SIM. Pemohon cukup datang ke tempat pelayanan untuk melakukan pembaruan SIM yang sudah kedaluwarsa.Dikutip dari akun Twitter TMC Polda Metro Jaya, Sabtu (7/8/2024), pelayanan SIM keliling tersebar di seluruh wilayah Jakarta. Fasilitas ini dibuka mulai pukul 08.00 WIB sampai 12.00 WIB.Baca juga: Viral Video Pengendara Motor Pura-pura Tertabrak MobilPerlu dicatat, layanan SIM keliling Polda Metro Jaya hanya melayani permohonan perpanjangan SIM A dan SIM C sebelum masa berlaku habis. Jika masa berlaku SIM habis, akan diberlakukan penerbitan SIM baru.Ada beberapa hal yang harus diperhatikan oleh pemohon sebelum datang ke pelayanan SIM keliling. Pemohon sebaiknya sudah menyiapkan dokumen-dokumen yang diperlukan, seperti fotokopi Kartu Tanda Penduduk (KTP), SIM lama dan fotokopi, surat keterangan sehat, bukti tes psikologi serta membawa alat tulis seperti pulpen untuk mengisi dokumen.LOKASI PELAYANAN #SIMKELILING Sabtu, 07 September 2024 Pukul 08.00 s/d 12.00 WIB. pic.twitter.com/zTYrwQbp4rJika semua sudah siapkan, datang ke bus atau truk SIM keliling dan langsung mendaftar. Selanjutnya pemohon akan diberikan formulir, dan foto kopi KTP diserahkan kepada petugas.Formulir yang harus diisi seperti biodata pemohon, dan setelah itu dokumen kembali diserahkan kepada petugas. Setelah dokumen diserahkan, langsung dipanggil ke dalam bus. Di dalam, pemohon akan di tes mata dengan melihat dua angka di kertas.Setelah berhasil menjawab dengan benar, maka langsung diarahkan menuju tempat foto, yang ada di sebelahnya. Selanjutnya, petugas akan minta pemohon untuk membayar.Jika merujuk Peraturan Pemerintah (PP) Nomor 60 tahun 2016, tentang Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak (PNBP), biaya perpanjangan SIM A Rp 80.000 dan untuk SIM C Rp 75.000.Baca juga: Pembuatan SIM yang Jujur Bisa Cegah Aksi Truk OlengBerikut lokasi SIM keliling di wilayah DKI Jakarta dan sekitarnya hari ini:",07/09/2024,OTOMOTIF
2,[POPULER OTOMOTIF] Diskon Motor Honda September 2024 | Toyota New Fortuner Resmi Meluncur | Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di Tanjakan,"JAKARTA, KOMPAS.com - Banyak pembaca yang ingin tahu tentang diskon motor Honda pada September 2024. Artikel tentang Toyota New Fortuner yang baru saja resmi meluncur juga membuat banyak pembaca penasaran.Tak ketinggalan, tips soal menginjak pedal gas mobil matik CVT saat di tanjakan juga menarik banyak pembaca. Untuk lebih lengkapnya, berikut ini kumpulan artikel otomotif terpopuler pada Jumat (6/9/2024):1. Diskon Motor Honda September 2024, PCX 160 Tembus Rp 1,4 JutaDok. Wahana Honda Diskon motor Honda berlaku buat sejumlah model pada September 2024Memasuki September 2024, PT Wahana Makmur Sejati (WMS) selaku Main Dealer sepeda motor Honda Jakarta - Tangerang mengadakan program penjualan bertajuk ‘Saletember’.Dalam program ini, konsumen akan mendapatkan potongan harga dan potongan tenor sampai dengan tiga kali cicilan, yang berlangsung sejak 1-30 September 2024.Baca juga: Diskon Motor Honda September 2024, PCX 160 Tembus Rp 1,4 Juta2. Apa Kabar Pembangunan Pabrik Mazda di Indonesia?Dok. Mazda Mazda CX-5 varian Elite dan Kuro. PT Eurokars Motor Indonesia (EMI) selaku distributor Mazda di Tanah Air diketahui sedang membangun pabrik mobil di Tanah Air.Investasi yang dikeluarkan oleh PT EMI sekitar Rp 400 miliar untuk mempersiapkan pabrik Mazda secara keseluruhan yang rencananya berlokasi di Jawa Barat. Namun, sayangnya informasi lebih rinci mengenai pusat perakitan Mazda di Indonesia saat ini masih rahasia.Baca juga: Apa Kabar Pembangunan Pabrik Mazda di Indonesia?3. Toyota New Fortuner Resmi Meluncur, Harga mulai Rp 600 JutaanKOMPAS.com/ Aprida Nanda Toyota New Fortuner Resmi Meluncur, Harga Mulai Rp 600 JutaanPT Toyota Astra Motor (TAM) resmi meluncurkan New Fortuner. Seremonialnya dilakukan di Jakarta Pusat, pada Jumat (6/9/2024). Mobil yang bermain di segmen Sport Utility Vehicle (SUV) ini hadir dengan sejumlah sentuhan baru.Hiroyuki Ueda Presiden Director PT TAM, di Jakarta Pusat mengatakan, Fortuner secara konsisten mempertahankan kepemimpinannya di segmen SUV tinggi selama satu dekade terakhir, dan sekarang mencapai pangsa pasar lebih dari 40 persen.Baca juga: Toyota New Fortuner Resmi Meluncur, Harga mulai Rp 600 Jutaan4. Siap-siap, Toyota Fortuner Terbaru Meluncur Siang IniKOMPAS.com/Adityo Wisnu Toyota Fortuner 2.8LPT Toyota Astra Motor dipastikan bakal meluncurkan New Fortuner baru pada Jumat (6/9/2024).Melalui undangan yang diterima redaksi, produsen otomotif raksasa asal Jepang itu menuliskan bahwa seremoni New Fortuner bakal dilakukan di Jakarta, pada (6/9/2024).Baca juga: Siap-siap, Toyota Fortuner Terbaru Meluncur Siang Ini5. Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di TanjakanKOMPAS.com/STANLY RAVEL All New Honda BR-V Prestige CVTKondisi lalu lintas yang padat atau macet di tanjakan menjadi tantangan tersendiri bagi pengemudi mobil matik. Selain membutuhkan kesabaran, situasi ini juga dapat memengaruhi performa kendaraan.Meski pengoperasian mobil matik lebih mudah daripada transmisi manual saat di tanjakan, namun jika salah pengoperasian, seperti terlalu sering menggantung gas secara bisa menyebabkan kerusakan.Baca juga: Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di Tanjakan",07/09/2024,OTOMOTIF
3,"Cek Saldo Minimal BRI, BNI, BCA, Mandiri, dan BSI","JAKARTA, KOMPAS.com - Penting bagi calon nasabah untuk mengetahui saldo minimal di bank seperti BRI, BNI, BCA, Mandiri, hingga BSI, sesuai dengan jenis rekening yang dipilih.Pemahaman ini diperlukan agar nasabah dapat memenuhi persyaratan pembukaan dan pengelolaan rekening secara optimal.Saldo minimal atau biasa dikenal dengan saldo mengendap adalah jumlah dana yang wajib tersedia di rekening tabungan seseorang atau perusahaan agar tetap aktif. Baca juga: KAI Uji Coba Teknologi Face Recognition Boarding Gate di Stasiun MedanMasing-masing bank memiliki ketentuan saldo minimal yang berbeda, tergantung jenis tabungan yang digunakan.Penetapan saldo minimal ini umumnya bertujuan untuk menghindari saldo negatif atau overdraft.Apabila saldo berada di bawah batas minimal yang ditetapkan, bank berhak mengenakan biaya tambahan atau denda. Ketentuan terkait saldo minimal ini ditentukan secara mandiri oleh masing-masing bank, termasuk BRI, BNI, BCA, Mandiri, dan BSI.Baca juga: OJK Blokir 10.890 Entitas Keuangan Ilegal Sejak 2017Bagi calon nasabah, memenuhi ketentuan saldo minimal merupakan syarat utama dalam pembukaan rekening.Nasabah lama yang jarang bertransaksi pun perlu memperhatikan hal ini. Karena saldo minimal yang tidak terpenuhi dapat menyebabkan rekening berstatus pasif (dormant) serta dikenakan biaya administrasi yang dipotong secara otomatis ketika ada dana masuk.Berikut ini rincian saldo minimal BRI, BNI, BCA, Mandiri, dan BSI berdasarkan jenis tabungan:Baca juga: Wamen BUMN Pastikan Situs e-Meterai Peruri Tak Lagi ErrorBaca juga: Catat, Ada 7.214 Formasi CPNS bagi Lulusan SMA di KemenkumhamDemikian informasi terkait saldo minimal di BRI, BNI, BCA, Mandiri, dan BSI. Perlu diingat, kebijakan saldo minimal ini dapat berubah sewaktu-waktu, sesuai dengan kebijakan internal masing-masing bank.Oleh karena itu, calon nasabah disarankan untuk selalu memeriksa kebijakan terbaru yang berlaku sebelum membuka rekening.",06/09/2024,MONEY
4,"KAI Uji Coba Teknologi ""Face Recognition Boarding Gate"" di Stasiun Medan","KOMPAS.com - PT Kereta Api Indonesia (KAI) Divre I Sumatra Utara mulai melakukan uji coba teknologi Face Recognition Boarding Gate di Stasiun Medan, Kamis (5/9/2024).Inovasi ini bertujuan untuk memudahkan penumpang dalam pemeriksaan tiket saat hendak naik kereta api.Manager Humas KAI Divre I Sumut, Anwar Solikhin menjelaskan bahwa Face Recognition Boarding Gate adalah fasilitas layanan boarding yang terintegrasi dengan sistem pemeriksaan tiket.Baca juga: OJK Blokir 10.890 Entitas Keuangan Ilegal Sejak 2017Fasilitas ini dilengkapi dengan kamera untuk mengidentifikasi dan memvalidasi identitas penumpang melalui pemindaian wajah yang datanya telah terintegrasi dengan tiket.""Proses boarding jadi makin praktis karena pelanggan cukup memindai wajah melalui Face Recognition Gate dan tidak perlu lagi menunjukkan KTP atau bukti print tiket,"" ujarnya.Saat ini, terdapat dua unit mesin Face Recognition yang sedang diuji coba di Stasiun Medan.Pelanggan hanya perlu melakukan satu kali registrasi, baik melalui aplikasi Access by KAI maupun di stasiun.Baca juga: 10 Tahun Pemerintahan Jokowi, Menhub: 45 PSN Sudah Diselesaikan ""Pelanggan dapat mendaftarkan layanan Face Recognition dengan mengeklik Menu 'Akun' kemudian memilih 'Registrasi Face Recognition' dan mengikuti langkah-langkah yang diberikan,"" jelas Anwar.Proses registrasi di Stasiun Medan akan dipandu oleh petugas layanan khusus yang tersedia.Pendaftaran tidak dapat diwakili; pelanggan hanya perlu membawa e-KTP.Proses registrasi dapat dilakukan dengan menempelkan e-KTP pada perangkat reader dan menempelkan jari telunjuk pada pemindai yang ada di e-KTP reader.""Bagi pelanggan yang tidak dapat melakukan registrasi karena tidak memiliki e-KTP, seperti anak-anak, atau e-KTP yang rusak, tidak perlu khawatir. Proses registrasi juga dapat dilakukan melalui petugas layanan yang tersedia,"" ungkapnya.Baca juga: Tak Perlu ke Bank, Ini Cara Daftar BRImo secara OnlineAnwar menambahkan, pendaftaran cukup dilakukan sekali dan berlaku seterusnya, termasuk di stasiun lain yang telah memiliki fasilitas Face Recognition Boarding Gate.Pelanggan yang sudah pernah menggunakan layanan serupa tidak perlu melakukan registrasi ulang.""Jika sudah melakukan registrasi, pelanggan tidak perlu lagi mencetak boarding pass. Pelanggan dapat langsung menuju ke Face Recognition Boarding Gate ketika waktu boarding sudah tiba,"" katanya.",06/09/2024,MONEY
5,OJK Blokir 10.890 Entitas Keuangan Ilegal Sejak 2017,"JAKARTA, KOMPAS.com - Otoritas Jasa Keuangan (OJK) telah memblokir atau menghentikan 10.890 entitas keuangan ilegal selama periode 2017 hingga Agustus 2024 sebagai upaya untuk memberantas kegiatan keuangan yang melanggar hukum.Kepala Eksekutif Pengawas Perilaku Pelaku Usaha Jasa Keuangan, Edukasi dan Pelindungan Konsumen OJK, Friderica Widyasari Dewi, mengungkapkan bahwa dari 1 Januari hingga 31 Agustus 2024, OJK menerima sebanyak 11.712 pengaduan terkait entitas ilegal.""Di sisi pemberantasan kegiatan keuangan ilegal, pengaduan entitas ilegal yang diterima sebanyak 11.712 pengaduan,"" ujarnya, Jumat (6/9/2024) seperti dilansir dari Antara.Baca juga: 10 Tahun Pemerintahan Jokowi, Menhub: 45 PSN Sudah Diselesaikan Dari total pengaduan tersebut, sebanyak 11.091 pengaduan berkaitan dengan pinjaman online (pinjol) ilegal, sementara 621 pengaduan terkait investasi ilegal.Friderica menjelaskan bahwa 10.890 entitas ilegal yang diblokir terdiri dari 1.459 investasi ilegal, 9.180 pinjaman online ilegal, dan 251 gadai ilegal.Pada periode Januari hingga Agustus 2024, OJK berhasil menghentikan 2.741 entitas ilegal, yang terdiri dari 2.500 entitas pinjaman online ilegal dan 241 penawaran investasi ilegal melalui berbagai situs dan aplikasi yang berpotensi merugikan masyarakat.Baca juga: Wamen BUMN Pastikan Situs e-Meterai Peruri Tak Lagi ErrorDalam upaya penegakan ketentuan perlindungan konsumen, Friderica menyatakan bahwa Satuan Tugas Pemberantasan Aktivitas Keuangan Ilegal (Satgas Pasti) telah menerima informasi mengenai 228 rekening bank atau virtual account yang dilaporkan terkait dengan aktivitas keuangan ilegal.""Satgas Pasti mengajukan pemblokiran kepada satuan kerja pengawas bank di OJK untuk segera memerintahkan pihak bank terkait melakukan pemblokiran,"" jelasnya.Selain pemblokiran rekening bank atau virtual account, Satgas Pasti juga menemukan nomor WhatsApp pihak penagih (debt collector) terkait pinjaman online ilegal yang dilaporkan telah melakukan ancaman, intimidasi, dan tindakan lain yang bertentangan dengan ketentuan.Baca juga: Deretan Promo Lazada 9.9, Diskon 90 Persen hingga Grandprize Mobil ListrikMenindaklanjuti hal tersebut, Satgas Pasti telah mengajukan pemblokiran terhadap 995 nomor kontak kepada Kementerian Komunikasi dan Informatika RI.",06/09/2024,MONEY
6,"10 Tahun Pemerintahan Jokowi, Menhub: 45 PSN Sudah Diselesaikan ","JAKARTA, KOMPAS.com - Menteri Perhubungan (Menhub) Budi Karya Sumadi mengatakan, selama 10 tahun pemerintahan Presiden Joko Widodo (Jokowi) ada 45 proyek strategis nasional (PSN) yang sudah diselesaikan oleh pihaknya.Puluhan PSN itu mencakup bandara, pelabuhan, terminal hingga jalur kereta api.""Tidak terasa pemerintahan Pak Jokowi sudah 10 tahun, dan kami memberikan report kepada masyarakat apa yang sudah dilaksanakan. Dan apa yang dilaksanakan alhamdulillah sudah relatif terselesaikan apa yang ditugaskan. Dan yang kami sebutkan paling tidak ada 45 proyek PSN itu diselesaikan,"" ujar Budi Karya Sumadi saat memberikan keterangan pers di JiExpo, Kemayoran, Jakarta Pusat, Jumat (6/9/2024).Baca juga: Proyek Migas Raksasa yang Digarap UEA dan Inggris Ini Diusulkan Jadi PSNCHUTTERSNAP/UNSPLASH Ilustrasi penerapan infrastruktur hijau di perkotaan.""Banyak sekali bandara, pelabuhan, terminal, jalan kereta api yang diselesaikan dan itu sendiri tentunya memberikan suatu dukungan kelancaran pelayanan transportasi,"" lanjutnya.Meski begitu, Budi menekankan pembangunan di sektor perhubungan perlu terus ditingkatkan.Pasalnya, tantangan pembangunan perhubungan di Indonesia masih berada pada isu geografis.""Tantangan kita dengan pulau-pulau yang harus disatukan dengan angkutan laut dan juga angkutan udara harus dipantau, direncakan, dievaluasi dan di-improve,"" katanya.Baca juga: Dukung PSN, PGN Komitmen Kembangkan Jargas Rumah Tangga untuk Kurangi Subsidi LPGDi sisi lain, pemerintah perlu terus memikirkan pengembangan angkutan massal perkotaan. Budi memberikan contoh, di Jakarta saat ini sudah beroperasi moda transportasi umum yang lebih beragam.Keberadaan mass rapid transit (MRT), light rail transit (LRT), bus rapid transit (BRT) hingga kereta cepat Whoosh yang menghubungkan Jakarta-Bandung.",06/09/2024,MONEY
7,Wamen BUMN Pastikan Situs e-Meterai Peruri Tak Lagi Error,"KOMPAS.com - Wakil Menteri Badan Usaha Milik Negara (BUMN) Kartika Wirjoatmodjo (Tiko) mengatakan, pihaknya memastikan tidak akan ada lagi kendala dalam infrastruktur teknologi Perum Peruri baik layanan meterai elektronik ataupun produk lainnya.Tiko mengatakan, masalah yang terjadi pada laman meterai-elektronik.com karena banyaknya pengguna yang masuk dalam satu waktu untuk mendaftar calon pegawai negeri sipil (CPNS).""Yang kemarin e-meterai itu kan capacity issues yang kita lagi review dan memastikan ke depan bahwa infrastruktur Peruri tidak ada lagi capacity issues lagi di e-meterai atau produk lainnya,"" ujar Tiko di Jakarta, dikutip dari Antara, Jumat (6/9/2024).Lebih lanjut, Tiko menegaskan, Peruri akan lebih memperbaiki kapasitas dan kapabilitas dari layanan-layanannya sehingga tidak menyulitkan para pengguna.Baca juga: Cara Refund e-Meterai Peruri, Simak Ketentuannya""Kita secara umum akan memperbaiki kapasitas dan kapabilitas Peruri lah untuk ke depan,"" kata Tiko.Pada Selasa (4/9/2024), terjadi kendala teknis dalam perihal pembelian dan pemanfaatan meterai elektronik yang tentunya menghambat proses penyelesaian pendaftaran para peserta seleksi CPNS.Peruri telah berupaya maksimal untuk memulihkan layanan meterai elektronik yang mengalami lonjakan penggunaan yang cukup tinggi menjelang penutupan masa pendaftaran seleksi CPNS.Hal ini mengakibatkan pelambatan hingga tidak dapat diaksesnya layanan meterai elektronik, namun kini layanan tersebut telah dapat diakses kembali.Baca juga: Mengenal Unit Kerja pada Penempatan Formasi CPNS 2024 dan ContohnyaTiko juga menegaskan bahwa laman meterai elektronik milik Peruri berbeda dengan Government Technology (GovTech) Indonesia atau yang dikenal dengan INA Digital.INA Digital merupakan sebuah digitalisasi layanan pemerintah yang terintegrasi untuk mempercepat dan mempermudah layanan bagi masyarakat.Adapun INA Digital sebagai penyedia solusi terpadu berbagai layanan digital pemerintah, termasuk portal nasional dan layanan terkait infrastruktur.""Kalau GovTech ini kan lebih ke aplikasi development. Ini kan tim baru dibentuk, ini masih baru sekali,"" ucap Tiko.Baca juga: Layanan E-Meterai Sudah Dapat Diakses Lagi, Peruri: Kuota yang Sudah Dibeli Tidak Hilang",06/09/2024,MONEY
8,"Menghindari Rugi, Waskita Dilarang Garap Proyek Tol Lagi","KOMPAS.com - Wakil Menteri Badan Usaha Milik Negara (BUMN) Kartika Wirjoatmodjo atau yang dikenal dengan Tiko mengatakan PT Waskita Karya (Persero) Tbk tidak akan mengambil proyek jalan tol lagi.""Mereka tidak akan mengambil tol lagi, karena dulu kan kenanya (rugi) di tol. Ke depan mereka tidak akan mengambil tol baru, untuk tol penugasan semua ada di Hutama Karya,"" ujar Tiko di Jakarta, dikutip dari Antara, Jumat (6/9/2024).Tiko menyampaikan dengan disetujuinya restrukturisasi dari 21 bank senilai Rp 26,3 triliun, maka pengelolaan keuangan Waskita diharapkan akan lebih stabil.Lebih lanjut, Waskita juga akan mengerjakan proyek-proyek yang sudah berjalan seperti Tol Bogor-Ciawi-Sukabumi (Bocimi), penambahan Tol di Bekasi-Cawang-Kampung Melayu (Becakayu) dan Tol Cimanggis-Cibitung untuk membayar utang.Baca juga: 21 Bank Setujui Restrukturisasi Utang Waskita Karya Rp 26,3 TriliunDukungan dari 21 bank Himbara dan swasta, kata Tiko, diharapkan mampu membuat Waskita menjalankan proyek-proyek baru di luar tol.""Nanti bertahap akan kita lepas sehingga ada divestasi yang mengurangi jumlah utang waskita secara bertahap,"" kata Tiko.Sementara itu, Direktur Utama Waskita Karya Muhammad Hanugroho mengatakan manajemen Waskita berkomitmen mengembalikan Waskita ke core business atau bisnis intinya sebagai kontraktor murni.Perusahaan pun akan fokus memaksimalkan kapabilitas, pengalaman, dan keahliannya untuk mengerjakan proyek jalan, jembatan, gedung, infrastruktur, air, dan lainnya.Hanugroho menyampaikan, ke depannya perseroan akan fokus pada divestasi untuk menurunkan kewajiban. Waskita sendiri masih memiliki 10 ruas tol dalam grup usaha Waskita Toll Road.Baca juga: BUMN Waskita Karya PHK 500 Karyawan, Bakal Berlanjut Tahun Depan?""Waskita optimis dengan dukungan dari berbagai pihak terkait melakukan divestasi atas sisa ruas tol yang masih dimiliki Waskita. Proses divestasi ini menjadi kunci dalam menurunkan kewajiban perusahaan,"" ujar Hanugroho.Kinerja keuangan Perseroan pada kuartal II 2024, Waskita mengantongi pendapatan sebesar Rp 4,47 triliun. Pendapatan itu ditopang dari jasa konstruksi sebesar Rp3,12 triliun.Penjualan beton atau precast berkontribusi sebesar Rp 610,96 miliar terhadap pendapatan perseroan. Kemudian ditambah oleh pendapatan jalan tol yang mencapai Rp 563,34 miliar.Selanjutnya, kinerja Gross Profit Margin (GPM) perusahaan naik menjadi 13,3 persen secara tahunan atau year on year (yoy) dari sebelumnya sebesar 8,8 persen.Kenaikan itu seiring profil proyek yang lebih baik terutama proyek Ibu Kota Nusantara (IKN), sehingga mendukung optimalisasi kemajuan konstruksi dan lean project. Ada 12 proyek IKN yang dikerjakan Waskita, nilai kontraknya sebesar Rp 7,7 triliun.Baca juga: Erick Thohir Jawab JK soal Waskita Belum Bayar Utang Rp 300 Miliar ke Grup Kalla",06/09/2024,MONEY
9,"Pengertian Bunga Anuitas, Rumus, dan Contoh Hitungannya","KOMPAS.com - Bunga anuitas adalah jenis bunga yang digunakan dalam sistem pembayaran berkala, di mana pembayaran yang dilakukan tetap atau konstan selama periode tertentu.Bunga anuitas biasanya merujuk pada rangkaian pembayaran tetap yang dilakukan pada interval yang teratur, seperti mingguan, bulanan, atau tahunan. Pembayaran ini terdiri dari dua komponen utama: pokok pinjaman (principal) dan bunga (interest).Tujuan perhitungan bunga anuitas adalah guna memudahkan nasabah untuk membayar angsuran di setiap periode. Biasanya, sistem yang diterapkan adalah suku bunga mengambang (floating rate) atau bunga tetap (fix rate).Baca juga: 5 Jenis Suku Bunga Bank, Apa Saja?Dikutip dari laman sikapiuangmu Otoritas Jasa Keuangan (OJK) dijelaskan, bunga anuitas adalah metode perhitungan bunga yang mengatur jumlah angsuran pokok ditambah angsuran bunga yang dibayar agar sama setiap bulan.Pada perhitungan anuitas, porsi bunga pada masa awal akan sangat besar sedangkan porsi angsuran pokok sangat kecil.Bunga anuitas ini biasanya digunakan untuk jenis pinjaman jangka panjang seperti KPR atau kredit investasi.Baca juga: 5 Jenis Suku Bunga Bank, Apa Saja?Dalam menghitung cicilan dengan bunga anuitas, rumus yang digunakan adalah dengan rumus untuk menghitung bunga efektif.Rumus bunga anuitas yakni:Bunga = SP x i x (30/360)Keterangan:Namun, rumus bunga anuitas ini dikembangkan lagi untuk mendapatkan nilai yang sesuai berdasarkan rumus anuitas menjadi:P * (i/12) /( (1-(1+(i/12))^(-t)Keterangan:Baca juga: Cara Menghitung Bunga Bank dan Angsuran pada Soal MatematikaUntuk contoh penggunaan cara hitung bunga anuitas, misalnya Anda memiliki plafon pinjaman KPR sebesar Rp 120 juta (P) dengan tenor 10 tahun alias 120 bulan (t) dan suku bunga 11 persen per tahun (i).Total angsuran per bulan yang harus Anda bayar adalah Rp 120.000.000 x (11 persen/12) :",06/09/2024,MONEY
10,"Minyak Sawit hingga Otomotif, Komoditas Indonesia Banjiri Pasar Afrika","KOMPAS.com - Lembaga Pembiayaan Ekspor Indonesia (LPEI)/Indonesia Eximbank terus menunjukkan komitmennya dalam mendukung peningkatan ekspor produk dan komoditas Indonesia ke  negara-negara non-tradisional, khususnya di Benua Afrika. Pelaksana Tugas (Plt) Direktur Pelaksana Sekretariat Lembaga, Kepatuhan, dan Sumber Daya Manusia LPEI T Wahyu Prihadi Wibowo mengatakan, Indonesia Eximbank berkomitmen untuk terus mendukung eksportir dalam mengakses pasar Afrika melalui penyediaan pembiayaan ekspor dan asuransi kredit perdagangan (trade credit insurance/TCI). Dia menyebutkan, Indonesia Eximbank tidak hanya berperan dalam meningkatkan daya saing produk-produk Indonesia di pasar Afrika yang terus berkembang, “Lebih dari itu, LPEI juga memberikan perlindungan kepada eksportir dari berbagai  risiko yang berkaitan dengan perdagangan internasional,” katanya dalam siaran pers,” ujarnya dlam siaran pers, Jumat (6/9/2024). Wahyu mengatakan, kajian LPEI menunjukkan bahwa komoditas seperti minyak sawit, otomotif, komponen otomotif, dan kayu lapis, masih memiliki potensi besar di pasar Afrika. Baca juga: LPEI Optimis Ekspor Jakarta Tumbuh Pesat, Produk Manufaktur Jadi Andalan“Afrika menawarkan peluang pasar besar dengan pertumbuhan ekonomi yang menjanjikan bagi eksportir Indonesia,” ujarnya. Wahyu mengatakanmenyebutkan, dengan dukungan LPEI, para pelaku usaha dapat lebih percaya diri menembus pasar Afrika. “Saatnya eksportir Indonesia memanfaatkan peluang ini untuk  memperluas jangkauan dan memperkuat posisi di pasar global,” tuturnya. Sebagai bagian dari upaya peningkatan ekspor ke negara-negara non tradisional khususnya kawasan Afrika, pemerintah melalui LPEI memiliki fasilitas Penugasan Khusus Ekspor (PKE) Kawasan. Fasilitas tersbeut bertujuan memberikan pembiayaan untuk transaksi atau proyek yang secara komersial sulit diwujudkan, tetapi dipandang strategis dalam mendukung kebijakan ekspor nasional. Baca juga: Ekspor Produk Limbah Sawit Capai 29,32 Juta Dollar AS, LPEI Minta Produsen Manfaatkan PeluangPKE Kawasan mencakup pembiayaan ekspor bagi eksportir yang berfokus pada negara-negara di Afrika, Asia Selatan, dan Timur  Tengah, kecuali negara-negara yang mendapat perhatian khusus. Pada 2023, nilai ekspor Indonesia ke Afrika mencapai 6,88 miliar dollar Amerika Serikat (AS). LPEI berperan aktif dalam mendukung 84 eksportir Indonesia untuk menembus pasar di 49 negara di Afrika. Berdasarkan data Badan Pusat Statistik (BPS) yang diolah oleh Indonesia Eximbank, ekspor Indonesia ke Afrika mengalami pertumbuhan stabil dengan tingkat pertumbuhan tahunan gabungan (CAGR) sekitar 9,47 persen  dalam lima tahun terakhir. Lima negara tujuan utama ekspor Indonesia di Afrika meliputi Mesir (37 persen),  Kamerun (7,3 persen), Djibouti (7 persen), Afrika Selatan (6,1 persen), dan Nigeria (5,5 persen). Adapun lima komoditas ekspor terbesar Indonesia ke Afrika, antara lain minyak hewani dan nabati, kertas dan produk kertas, sabun dan bahan pembersih, otomotif dan komponen otomotif, serta peralatan elektrikal. Baca juga: LPEI: Sumatera Utara Jadi Salah Satu Tulang Punggung Ekspor NasionalBeberapa proyek yang telah difasilitasi LPEI melalui program PKE Kawasan di Afrika, antara lain pembiayaan ekspor pesawat CN-235 ke Senegal, pembiayaan pembangunan 3.950 unit Rumah Sosial di Aljazair oleh PT Wijaya Karya, ekspor semen dan klinker ke Afrika Timur, serta ekspor ikan kaleng (sarden,  makarel, dan tuna) ke Nigeria dan Ghana di Afrika Barat. ",06/09/2024,MONEY
