Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
"Anak Usaha BUMN KAI Buka 2 Lowongan Magang, Ada Gajinya","KOMPAS.com - PT Railink membuka lowongan magang bagi mahasiswa. PT Railink atau KAI Bandara Railink adalah anak usaha dari Kereta Api Indonesia yang bergerak di bidang pengoperasian kereta api bandara.PT Railink menawarkan gaji bagi mahasiswa yang magang.""Open opportunity for Legal Intern and Human Resource Intern, paid internship,"" tulis akun Instagram @kabandararailink pada IG story, Kamis, (31/10/2024).Sehingga bagi mahasiswa yang ingin magang dan mendapatkan gaji serta pengalaman, kesempatan ini jangan dilewati.Apalagi KAI adalah salah satu Badan Usaha Milik Negara (BUMN) yang prestisius dan besar. Sehingga bergabung di anak perusahaan KAI memberikan banyak insight bagi mahasiswa.Baca juga: 10 Beasiswa SD sampai S3 buat Anak PNS, Ada Uang SakunyaPerlu diketahui juga jika KAI Bandara juga mengoperasikan layanan kereta api Bandara Internasional Soekarno-Hatta mulai bulan Januari 2018 dan Bandara Internasional Yogyakarta (YIA) yang dimulai pada tahun 2022.Usaha bisnis non-penumpang meliputi pengembangan MOSS (Maintenance Operation Spare-part Services) yang juga dimulai sejak tahun 2022.Pendaftaran dibuka hingga 8 November 2024. Persyaratan selengkapnya simak di bawah ini.A. Posisi Legal Intern1. Fresh Graduate jurusan S1 Hukum atau yang relevan.2. Mahasiswa tingkat akhir bisa bergabung, selama sudah tidak mengikuti lagi kuliah dalam kelas.3. Mampu bekerja dalam tim dan siap belajar banyak hal.4. Bisa mengoperasikan Mincrosoft Office.5. Bersedia magang sesuai penempatan. Saat ini penempatan di Jakarta Pusat6. Berkomitmen untuk mengikuti magang dalam waktu 3 bulan.Baca juga: 10 Beasiswa SD sampai S3 buat Anak PNS, Ada Uang Sakunya",31/10/2024,EDUKASI
Produsen Pelumas Ini Setia Dukung Pebalap Aldi Satya Mahendra sampai Juara Dunia,"JAKARTA, KOMPAS.com - Aldi Satya Mahendra berhasil mencetak sejarah sebagai pebalap Indonesia pertama yang meraih gelar juara dunia World Supersport 300 (WorldSSP300). Prestasi tersebut juga tak lepas dari dukungan perusahaan pelumas ENEOS.ENEOS sendiri merupakan sponsor utama tim Yamaha Racing Indonesia. Tim yang mendukung Aldi menjadi juara di tingkat nasional hingga internasional. Maka itu, Yamaha Racing Indonesia dan ENEOS turut bangga atas torehan prestasi Aldi.Baca juga: Aldi Satya Mahendra, Pebalap Indonesia Pertama yang Jadi Juara Dunia WorldSSP300“ENEOS sebagai pabrikan pelumas terpercaya, ikut bangga dan bahagia atas prestasi yang dicapai oleh Aldi diajang balap motor internasional, terlebih lagi, prestasi ini belum pernah diraih sebelumnya oleh pebalap Indonesia,” ujar Imran Razy, General Manager PT Nippon Oil Indonesia, produsen dan pemasar produk ENEOS, dalam keterangan resminya.Dok. Yamaha Aldi Satya Mahendra, juara dunia WorldSSP300 2024, yang didukung penuh oleh ENEOSENEOS menjadi sponsor Yamaha Racing Indonesia di ajang internasional Asia Road Racing Championship (ARRC), World Supersport 300 (WSSP300), dan Yamaha Cup Race (YCR). Selain itu, perusahaan pelumas nomor satu di Jepang ini juga telah lama dipercaya oleh tim balap Monster Energy Yamaha MotoGP.“ENEOS juga memiliki tanggung jawab untuk memajukan capaian prestasi pembalap Indonesia dalam lingkup Internasional,” kata Imran.Baca juga: Eneos NXP Ramaikan Pasar Oli Motor IndonesiaAldi yang merupakan Juara Dunia pertama dari Asia ini juga sangat bersemangat dan gembira terhadap hasil yang diperoleh dari perjuangannya selama ini. Dia mengatakan, dirinya sangat bersyukur dan bangga bisa menjuarai WSSP300 dan menjadi juara dunia pertama dari Indonesia.Dok. Yamaha Aldi Satya Mahendra, juara dunia WorldSSP300 2024, yang didukung penuh oleh ENEOS""Ini adalah mimpi yang menjadi kenyataan, dan saya tidak bisa melakukannya tanpa dukungan luar biasa dari tim Yamaha Racing Indonesia dan sponsor setia seperti ENEOS. Dukungan mereka memberikan saya kepercayaan diri dan semangat untuk terus berjuang di setiap balapan,"" ujar Aldi.""Pelumas ENEOS telah menjadi bagian penting dari performa motor saya, menjaga mesin tetap dalam kondisi terbaik dan memberikan performa maksimal di lintasan. Saya berkomitmen untuk terus memberikan yang terbaik dan membuat semua orang yang mendukung saya bangga,"" kata Aldi.Dok. Yamaha Aldi Satya Mahendra, juara dunia WorldSSP300 2024, yang didukung penuh oleh ENEOSSelain tim balapnya, Aldi sendiri mempercayakan pelumas ENEOS untuk kendaraan pribadinya. Menurutnya, ENEOS tidak hanya memberikan perlindungan maksimal untuk mesin, tetapi juga meningkatkan efisiensi bahan bakar.""Dalam aktivitas sehari-hari, saya merasakan perbedaan signifikan pada performa kendaraan saya. ENEOS menjaga mesin tetap bersih dan optimal, sehingga saya tidak perlu khawatir tentang perawatan yang terlalu sering. Dengan kualitas yang terjamin, saya yakin ENEOS adalah pilihan tepat bagi siapa pun yang ingin menjaga kendaraan mereka dalam kondisi terbaik,"" ujar Aldi.",31/10/2024,OTOMOTIF
"Gunung Ibu di Halmahera Barat Alami Erupsi, Kolom Abu Setinggi 1.000 Meter","HALMAHERA BARAT, KOMPAS.com - Gunung Ibu di Kabupaten Halmahera Barat, Maluku Utara, pada Kamis (31/10/2024) sekitar pukul 10.06 WIT, kembali erupsi dengan mengeluarkan kolom abu berwarna kelabu.Kolom abu tersebut teramati setinggi 1.000 meter di atas puncak atau setinggi 2.325 meter di atas permukaan laut.""Kolom abu teramati berwarna kelabu dengan intensitas tebal condong ke arah tenggara,"" kata Petugas Pos Pengamatan Gunung Ibu di Kabupaten Halmahera Barat, Richard Chaniago dalam keterangannya, Kamis (31/10/2024).Baca juga: Gunung Ibu di Halmahera Barat Kembali Alami ErupsiGunung setinggi 1.325 meter dari permukaan laut (mdpl) itu erupsi dan terekam di seismogram dengan amplitudo maksimum 28 mm dan durasi kurang lebih 1 menit 56 detik di Pos Pengamatan Gunung Ibu di Desa Gam Ici, Kecamatan Ibu.Richard mengatakan, saat ini gunung Ibu berada pada status level III atau Siaga.Baca juga: Gunung Ibu Kembali Meletus Malam Ini, Kolom Abu 3.000 MeterDia mengimbau masyarakat di sekitar gunung Ibu dan pengunjung atau wisatawan agar tidak beraktivitas di dalam radius 4 kilometer dan perluasan sektoral berjarak 5 kilometer ke arah bukaan kawah di bagian utara dari kawah aktif gunung Ibu.Jika terjadi hujan abu, masyarakat yang beraktivitas di luar rumah disarankan untuk menggunakan pelindung hidung, mulut dan mata.Selain itu, seluruh pihak diminta agar menjaga kondusifitas suasana di masyarakat, tidak menyebarkan narasi bohong atau hoaks, dan tidak terpancing isu-isu yang tidak jelas sumbernya serta selalu mengikuti arahan dari pemerintah daerah.",31/10/2024,REGIONAL
"Syarat Daftar Bintara TNI AD 2024 Gelombang 2, Lulusan SMK Semua Jurusan Bisa Daftar","KOMPAS.com - Pendaftaran Penerimaan Bintara PK TNI AD gelombang II TA 2024 sudah dibuka.Pendaftaran sudah dibuka sampai 18 November 2024 melalui link https://ad.rekrutmen-tni.mil.id/bintara-ad dan datang ke Ajendem dan Ajenrem terdekat.Seleksi calon bintara TNI ini dapat diikuti oleh semua lulusan SMA dan SMK. Bahkan untuk lulusan SMK, bisa semua jurusan mendaftar.Baca juga: 10 Beasiswa SD sampai S3 buat Anak PNS, Ada Uang SakunyaKemudian bagi lulusan Paket C, juga bisa mendaftar jalur ini. Asalkan, memiliki nilai rapor Bahasa Indonesia, Bahasa Inggris dan Matematika yang baik dan sesuai ketentuan TNI AD.Berikut persyaratan yang harus dipenuhi jika mau mendaftar Bintara TNI AD 2024 gelombang 2:1. Warga Negara Indonesia;2. Beriman dan bertaqwa kepada Tuhan Yang Maha Esa (menganut salah satu dari 6 agama yang diakui di Indonesia atau penghayat kepercayaan);3. Setia kepada Negara Kesatuan Republik Indonesia yang berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia tahun 1945;4. Berumur paling rendah 17 tahun 9 bulan dan paling tinggi 22 tahun pada saat pembukaan pendidikan pertama tanggal 16 Desember 2024;5. Tidak memiliki catatan kriminalitas yang dikeluarkan secara tertulis oleh Kepolisian Republik Indonesia;6. Sehat jasmani dan rohani serta tidak berkacamata; dan7. Tidak sedang kehilangan hak menjadi prajurit berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetap.Persyaratan lainnya1. Pria, bukan anggota/mantan prajurit TNI/Polri atau PNS TNI;2. Berijazah minimal SMA/MA/SMK baik negeri atau swasta yang terakreditasi sesuai kebutuhan (Berlaku Paket C), dengan persyaratan nilai rata-rata sebagai berikut:",31/10/2024,EDUKASI
"Kecelakaan Maut Rombongan Kru TV One di Pemalang-Batang, 3 Meninggal, 2 Luka-luka","PEMALANG, KOMPAS.com - Kecelakaan mau yang melibatkan kendaraan operasional Tv One dan truk ekspedisi terjadi di tol Pemalang-Batang, Jawa Tengah, tepatnya di Km  315 A, Kamis (31/10/2024).Tiga orang penumpang mobil Tv One disebutkan meninggal dunia, sementara 2 lainnya mengalami luka-luka.  Saat dikonfirmasi, Kapolres Pemalang AKBP Eko Sunaryo membenarkan peristiwa tersebut.Baca juga: Daftar Korban Meninggal Kecelakaan Rombongan Jurnalis TV One di PemalangJenazah korban meninggal imbuhnya, masih di RS Islam Al-Ikhas di Jalan, Kolonel Sugiono Kecamatan Pemalang, Jawa Tengah.""Ada dua mobil yang terlibat kecelakaan. Pertama Avanza dan truk paket box Rosalia Ekspres. Korban ada lima. Tiga meninggal dunia, dua masih sadar,"" katanya, Kamis.Saat ini, kasus kecelakaan tersebut sedang ditangani polisi lalu lintas Polres Pemalang.""Kami masih cek di lapangan ya, masih kami lakukan penyelidikan di lapangan oleh petugas, kalau sudah selesai kami informasikan lebih lanjut,"" ungkapnya.Baca juga: Bolehkah Moge Masuk Jalan Tol? Simak Penjelasan Berikut...Baca juga: Tabrak Mentok, Ibu dan Anak di Bantul Meninggal Dunia",31/10/2024,REGIONAL
Rangkuman Hari Ke-980 Serangan Rusia ke Ukraina: Pertemuan di China | Isu Tentara Korut,"KOMPAS.com - Perang Rusia-Ukraina memasuki hari ke-980 pada Rabu (30/10/2024), ditandai dengan pertemuan Menteri Luar Negeri China Wang Yi dan Wakil Menteri Luar Negeri Rusia Andrey Rudenko di Beijing.Sementara itu, isu tentara Korea Utara di Rusia masih menjadi bahasan sejumlah pihak, termasuk prediksi nasib Ukraina ke depannya.Berikut adalah rangkuman perang Ukraina-Rusia terkini.Baca juga: Buntut Kabar Korut Kirim Tentara ke Rusia, Ukraina-Korsel Sepakat Perdalam Kerja Sama KeamananMenteri Luar Negeri China Wang Yi pada Rabu (30/10/2024) menjamu Wakil Menteri Luar Negeri Rusia Andrey Rudenko di Beijing.Menurut keterangan Kementerian Luar Negeri China, Wang berkata kepada Rudenko bahwa hubungan kedua negara pasti berjalan kuat.Ia menambahkan, hubungan tersebut tidak terpengaruh perubahan situasi internasional, dan tidak diarahkan atau dipengaruhi oleh pihak ketiga.Baca selengkapnya di sini.Presiden Korea Selatan Yoon Suk-yeol dan Perdana Menteri Kanada Justin Trudeau menyatakan kekhawatiran atas keterlibatan Korea Utara dalam perang Rusia-Ukraina.Dalam pembicaraan telepon yang diadakan Rabu (30/10/2024), kedua pemimpin membahas dampak yang ditimbulkan oleh pengerahan pasukan Korea Utara ke medan perang.Menurut kantor Presiden Yoon, Trudeau menekankan bahwa keterlibatan ini dapat memperburuk konflik, serta memengaruhi stabilitas keamanan di kawasan Eropa dan Indo-Pasifik.Baca selengkapnya di sini.Baca juga: NATO dan AS Konfirmasi Tentara Korea Utara Telah Dikerahkan ke Kursk RusiaSerangan drone Rusia malam hari di ibu kota Ukraina, Kyiv, melukai sembilan orang termasuk gadis berusia 11 tahun, kata pihak berwenang pada Rabu (30/10/2024).Pemerintah kota Kyiv dan layanan darurat mengatakan, kebakaran terjadi di gedung sembilan lantai di distrik pusat. Kerusakan juga terjadi di taman kanak-kanak.""Sembilan orang luka-luka. Ada juga kebakaran di gedung administrasi delapan lantai,"" kata Wali Kota Kyiv Vitali Klitschko di media sosial, dikutip dari kantor berita AFP.Baca selengkapnya di sini.",31/10/2024,GLOBAL
"Sebabkan Sekolah ""Lockdown"", Mengapa Gondongan Kembali Mewabah?","KOMPAS.com - Sejumlah daerah melaporkan wabah gondongan atau mumps yang menjangkiti masyarakat, terutama anak-anak.Kabupaten Banyuwangi, Jawa Timur, misalnya, mencatatkan 907 kasus gondongan sejak awal September 2024 hingga 27 Oktober 2024 di 25 kecamatan.Di Kota Kediri, Jawa Timur, ada 215 kasus gondongan yang dilaporkan sejak Mei 2024 hingga 24 Oktober 2024.Sementara itu, di Banten, total 43 siswa SMP Negeri 8 Tangerang Selatan terjangkit cacar air dan gondongan, memaksa sekolah menerapkan lockdown dengan belajar di rumah selama 14 hari sampai 31 Oktober 2024.Gondongan adalah penyakit pembengkakan kelenjar parotis yang disebabkan infeksi virus paramyxovirus.Penyakit ini dapat dicegah dengan program vaksinasi MMR (measles, mumps, dan rubella), yang diberikan saat anak-anak.Lantas, mengapa gondongan kembali muncul meski sudah ada program vaksin MMR?Baca juga: Sedang Musim, Kenali Ciri-ciri Gondongan pada Anak dan Orang DewasaEpidemiolog dari Griffith University Australia, Dicky Budiman mengungkapkan beberapa penyebab wabah gondongan kembali menyebar meski sudah ada vaksin MMR.Pertama, menurut dia, penurunan cakupan vaksinasi di satu populasi menjadi di bawah angka kekebalan kelompok atau herd immunity.""Harusnya di atas 90-95 persen untuk mumps, ini turun di bawah 90 persen, akan semakin meningkatkan wabah karena semakin banyak individu yang rentan,"" ujarnya, saat dihubungi Kompas.com, Selasa (29/10/2024).Dicky mengatakan, mereka yang belum menerima vaksinasi MMR karena keyakinan pribadi, percaya hoaks, kondisi kesehatan, atau tak ada akses, lebih rentan terinfeksi gondongan.Orang-orang tersebut pun menjadi titik awal penularan virus, sehingga infeksi menyebar dan menyebabkan wabah di beberapa daerah.Penyebab kedua, efektivitas vaksin MMR yang belum menyentuh angka 100 persen mencegah infeksi.Dicky menyebut, meskipun vaksin MMR sangat efektif dengan tingkat efektivitas sekitar 88 persen setelah dua dosis, masih ada celah bagi penyebaran virus.""Artinya, masih ada sebagian kecil populasi yang meski sudah divaksinasi mungkin tetap bisa terinfeksi,"" tuturnya.Selain itu, sama seperti vaksin pada umumnya, efektivitas vaksin MMR juga bisa berkurang seiring waktu atau yang disebut sebagai waning immunity.Terlebih, vaksin MMR biasanya disuntikkan saat bayi, sehingga kekebalan tubuh terhadap virus dapat menurun setelah beberapa tahun.Baca juga: Terinfeksi Penyakit Gondongan, Perlukah Isolasi Mandiri?Shutterstock/Scio21 Ilustrasi gondongan atau parotitis. Penyebab ketiga, yakni adanya mutasi virus yang membuat organisme penyebab penyakit gondongan ini semakin mudah menular.""Pada kasus gondongan, beberapa penelitian menunjukkan bahwa mutasi virus yang menular lebih mudah itu dapat menyebabkan wabah, meskipun program vaksinasi tetap berjalan,"" ucap Dicky.Di sisi lain, Dicky menuturkan, timbulnya wabah gondongan akhir-akhir ini juga bisa dipicu oleh kepadatan populasi dan lingkungan.Misalnya, lingkungan sekolah yang kerap menjadi tempat ideal untuk penyebaran penyakit karena kontak fisik anak-anak yang cenderung rekat.Kendati demikian, Dicky mengungkapkan, hingga saat ini vaksin MMR masih sangat efektif untuk mencegah penularan dan komplikasi gondongan.Hanya saja, guna mencegah wabah semakin menyebar, diperlukan upaya lain, seperti meningkatkan cakupan vaksinasi.Pemerintah juga perlu menggencarkan monitoring and surveillance sebagai bentuk pemantauan infeksi rutin untuk membantu mendeteksi dini dan mengelola wabah agar tidak meluas.Dicky turut mengingatkan, penyakit gondongan sudah menjadi endemi atau penyakit yang menjangkiti suatu daerah, terutama yang cakupan vaksinnya masih rendah.Namun, penyakit ini tidak berpotensi menjadi epidemi maupun pandemi karena vaksin masih sangat efektif.""Lockdown lokal atau belajar di rumah itu langkah pencegahan yang tepat karena memutus mata rantai penularan,"" kata Dicky.""Karena anak-anak ini kan masih sangat rentan ya, masih tumbuh dan berkembang sistem imunitasnya, jadi lockdown sementara seminggu gitu masih cukup memadai,"" sambungnya.Baca juga: Apa Saja Gejala Penyakit Gondongan? Waspadai Juga Komplikasi Kondisi Ini",31/10/2024,TREN
Kawasaki Produksi W175 L Injeksi Secara Lokal 2025,"TANGERANG, KOMPAS.com - Kawasaki Motor Indonesia (KMI) berencana untuk memproduksi W175 L Injeksi secara lokal pada 2025.Michael C. Tanadhi Head, Sales & Promotion Dept. PT KMI mengatakan, penerimaan W175 L Injeksi di Indonesia cukup positif. Hal inilah yang mendasari pihaknya untuk segera memproduksi motor sport retro itu secara lokal.“Luar biasa bagus, karena memang dari sisi harga dan fitur mumpuni. Kita memang cuma mendapat volume jatah dari IKM India cuma 280 unit dan itu sudah sold out,” kata Michael, di ICE BSD, Tangerang, Rabu (30/10/2024).Baca juga: Gresini Racing Incar Podium di MotoGP Malaysia 2024“Tahun depan rencananya kita mau langsung menjadikan itu CKD, lagi proses,” ucap dia.Seperti diketahui W175 L injeksi saat ini masih didatangkan secara utuh (CBU) dari India. Mengingat W175 dengan injeksi ini memang pertama kali muncul di India. Makanya untuk saat ini, W175 L yang dijual di Indonesia masih berstatus impor.Doc Kawasaki Kawasaki W175 L InjeksiBicara soal Kawasaki W175 L Injeksi, sepeda motor ini memiliki tampilan retro klasik dengan ciri khas lampu yang bulat. Dimensi dari W175 L Injeksi punya panjang 2.005mm, lebar 805mm, dan tinggi 1.050mm. Sedangkan yang lama, panjangnya 1.940mm, lebar 765mm, dan tinggi 1.045mm.Motor ini dibekali mesin 177 cc Air-cooled, 4-stroke Single Cylinder, yang mampu menghasilkan tenaga 13 Ps atau 12 Tk pada 7.500 rpm, dengan torsi 13.2 Nm pada 6.000 rpm. W175 L Injeksi dibekali transmisi manual 5 percepatan.Baca juga: Motor Sport TVS Apache RTR 310 Meluncur di IMOS 2024Soal teknologi, motor ini sudah mendapat sistem Anti-lock Brake System atau ABS menggunakan sensor roda depan dan belakang untuk memonitor kecepatan roda secara konstan.Bicara soal harga, W175 L Injeksi dibanderol Rp 35.900.000 OTR Jakarta.",31/10/2024,OTOMOTIF
Pj Gubernur Jakarta Tinjau Uji Coba Makan Bergizi Gratis di SMAN 69 Kepulauan Seribu,"JAKARTA, KOMPAS.com - Penjabat (Pj) Gubernur Jakarta Teguh Setyabudi meninjau uji coba program makan bergizi gratis (MBG) di Sekolah Menengah Atas Negeri (SMAN) 69, Pulau Pramuka, Kepulauan Seribu, Kamis (31/10/2024).Teguh didampingi Plt Kepala Dinas Pendidikan Provinsi Jakarta Purwosusilo dan Kepala Dinas Ketahanan Pangan, Kelautan, dan Pertanian Provinsi Jakarta Suharini mengunjungi empat kelas di sekolah tersebut.Para siswa dari kelas 12-1 hingga 12-4 menyambut kunjungan pemimpin Jakarta itu dengan sejumlah pantun ucapan selamat datang.Baca juga: Pemprov Jakarta Bakal Uji Coba Makan Bergizi Gratis di Kepulauan SeribuMendengar sambutan itu, Teguh tersenyum lalu meminta para siswa untuk membuka kotak makanan yang berisikan nasi goreng, telur, ikan, jeruk dan lalapan timun.""Sekarang kita ada program makan bergizi gratis dari Bapak Presiden Prabowo dan Bapak Wakil Presiden Gibran, dimakan ya, ada nasi goreng,"" ucap Teguh saat meninjau kelas 12-3.""Coba nanti diinfokan (saran) karena ini baru uji coba,"" tambah Teguh.Dalam uji coba makan bergizi gratis ini, Teguh tidak banyak bicara. Ia meminta anak-anak untuk langsung menyantap makanan agar proses pembelajaran dapat kembali dilanjutkan.""Sudah ya, dimakan ini, biar semangat,"" kata Teguh lalu berjalan meninggalkan kelas.Adapun, SMAN 69 merupakan sekolah ke-13 yang melakukan uji coba makan bergizi gratis di wilayah Administrasi Jakarta.Sebelumnya diberitakan, Pemerintah Provinsi (Pemprov) Jakarta telah menyalurkan 10.448 paket makanan selama 12 kali uji coba program makan bergizi gratis di sekolah-sekolah Jakarta.Ke depan, Pemprov akan memperluas kelompok sasaran sekolah baik negeri maupun swasta dalam uji coba makan bergizi gratis ini.Baca juga: Pj Gubernur Jakarta Pastikan Anggaran Makan Bergizi Gratis Siap, Tinggal Tunggu Arahan Pusat ""Sekarang sudah ada yang negeri dan hari ini swasta. Nanti kami akan pertimbangkan untuk target grup yang lain, kelompok sasaran yang lain,"" kata Teguh ditemui di Sekolah Dasar Islam Terpadu (SDIT) Al Ihsan, Kebagusan, Jakarta Selatan, Kamis (24/10/2024).Berikut rincian sekolah di Jakarta yang telah dilakukan uji coba makan bergizi gratis:1. SDN Cideng 07 Jakarta Pusat, banyak 498 paket2. SDN Rawa Badak Utara 03 Jakarta Utara, sebanyak 371 paket",31/10/2024,NEWS
Pj Wali Kota Hery Antasari Sesalkan Dugaan Kekerasan oleh Wali Kelas SMP di Bogor Selatan,"BOGOR, KOMPAS.com - Penjabat (Pj) Wali Kota Bogor Hery Antasari menyesalkan dugaan kasus penganiayaan yang melibatkan seorang wali kelas berinisial H terhadap siswanya, L (14), di SMP swasta di Kecamatan Bogor Selatan, Kota Bogor.Hery menyatakan, jika kasus tersebut masuk ke ranah hukum, maka guru tersebut harus diproses sesuai dengan peraturan yang berlaku.""Saya sangat prihatin dan sangat menyesalkan kejadian ini. Mudah-mudahan tidak terjadi lagi, dan jika memang masuk ke ranah hukum, saya kira hukum memiliki prosedurnya, dan kita akan ikuti sesuai ketentuan,"" ujarnya kepada Kompas.com, Rabu (31/10/2024).Baca juga: Anaknya Dianiaya Wali Kelas, Orangtua di Bogor Enggan Berdamai Jika kasus ini berlanjut ke ranah kepegawaian, Hery menegaskan pihaknya berkomitmen untuk menindaklanjutinya secara tegas sesuai dengan aturan Aparatur Sipil Negara (ASN).""Kalau ini menjadi ranah kepegawaian, saya akan proses. Jadi, dua-duanya akan kita proses,"" tegasnya.Hery menegaskan bahwa tindakan yang dilakukan wali kelas terhadap siswa merupakan pelanggaran, mengingat seorang guru seharusnya memiliki kesabaran dan pengendalian diri dalam menghadapi siswa.""Pasti (pelaku dipanggil). Ini sudah menjadi tindakan yang melawan disiplin karena seorang guru harus sabar. Meskipun ada perbedaan generasi antara guru dan siswa, tindakan seperti ini sangat saya sayangkan,"" ujarnya.Baca juga: Siswa SMP di Bogor Diduga Dianiaya Wali Kelas, Ayah Korban: Pihak Sekolah Bilang Anak Saya TerpelesetIa berharap para guru dapat memahami kesenjangan generasi antara mereka dan siswa, serta beradaptasi dengan pendekatan yang lebih positif dalam pembelajaran.""Yang ingin saya galakkan pemahaman gap generasi, bedakan antara siswa dengan guru, beda zaman juga sekarang dari zaman dahulu ini harus kita sosialisasikan,"" tambah Hery.Sebagai pimpinan daerah, Hery juga menyampaikan permohonan maaf kepada siswa, orangtua, dan masyarakat Kota Bogor atas insiden yang melibatkan guru yang merupakan ASN di lingkungan Pemerintah Kota Bogor.""Karena guru tersebut ASN Kota Bogor, maka atas nama lembaga saya minta maaf kepada masyarakat, juga kepada siswa dan orangtuanya,"" ucapnya.Baca juga: Siswa SMP di Bogor yang Diduga Dianiaya Wali Kelas Sempat Diminta Tak Lapor ke OrangtuanyaMeski demikian, ia memastikan bahwa proses yang melibatkan unsur kepegawaian akan tetap berjalan sesuai aturan, dan pihaknya akan mengambil tindakan tegas jika terbukti terjadi pelanggaran.Sebelumnya, L diduga menjadi korban penganiayaan oleh wali kelasnya berinisial H setelah dipanggil dan dijewer oleh guru tersebut karena dianggap mengobrol saat berada di majelis pada Senin (21/10/2024). ""Anak saya ngobrol di majelis, di belakang kursi. Karena anak saya ketua kelas, dipanggil oleh wali kelasnya, sambil dijewer bilang sebagai ketua kelas harus memberikan contoh yang baik,"" jelas ayah korban, Umar (39).Setelah kejadian, Umar menemukan kondisi L yang memar di bagian matanya, meskipun pihak sekolah awalnya menyatakan bahwa L terjatuh di kamar mandi.",31/10/2024,NEWS
